,root,triad,bass,fingering
0,A#,dim7,none,"[(-1, -1), (-1, -1), (3, 3), (2, 1), (4, 4), (3, 2)]"
1,A#,dim7,none,"[(-1, -1), (5, 4), (3, 1), (5, 3), (4, 2), (-1, -1)]"
2,A#,dim7,none,"[(9, 4), (8, 2), (9, 3), (8, 1), (-1, -1), (-1, -1)]"
3,A#,dim7,none,"[(-1, -1), (2, 3), (0, 0), (2, 2), (1, 1), (-1, -1)]"
4,A#,dim7,none,"[(-1, -1), (-1, -1), (6, 3), (5, 1), (-1, -1), (6, 2)]"
5,A#,dim7,none,"[(-1, -1), (-1, -1), (9, 3), (8, 1), (-1, -1), (9, 2)]"
6,A#,dim7,none,"[(-1, -1), (5, 2), (6, 4), (5, 1), (-1, -1), (6, 3)]"
7,A#,dim7,none,"[(-1, -1), (8, 4), (6, 1), (8, 3), (7, 2), (-1, -1)]"
8,A#,7b5,none,"[(-1, -1), (2, 3), (1, 1), (2, 2), (1, 1), (-1, -1)]"
9,A#,7b5,none,"[(6, 3), (5, 1), (6, 4), (6, 2), (-1, -1), (-1, -1)]"
10,A#,7b5,none,"[(9, 4), (9, 3), (9, 2), (8, 1), (-1, -1), (-1, -1)]"
11,A#,dim,none,"[(-1, -1), (2, 4), (3, 3), (2, 2), (1, 1), (-1, -1)]"
12,A#,dim,none,"[(6, 2), (5, 1), (6, 3), (8, 4), (-1, -1), (-1, -1)]"
13,A#,dim,none,"[(-1, -1), (-1, -1), (6, 1), (8, 3), (7, 2), (6, 1)]"
14,A#,6,none,"[(6, 1), (7, 4), (6, 2), (8, 3), (-1, -1), (6, 1)]"
15,A#,m6,none,"[(6, 1), (7, 4), (6, 1), (8, 3), (-1, -1), (6, 1)]"
16,A#,7(b9),none,"[(-1, -1), (-1, -1), (4, 1), (6, 4), (4, 2), (6, 3)]"
17,C#,9,none,"[(9, 4), (9, 3), (8, 1), (9, 2), (-1, -1), (-1, -1)]"
18,C#,9b5,none,"[(11, 1), (0, 3), (0, 2), (11, 1), (-1, -1), (-1, -1)]"
19,C#,dim7,none,"[(-1, -1), (-1, -1), (3, 3), (2, 1), (4, 4), (3, 2)]"
20,C#,dim7,none,"[(-1, -1), (8, 4), (6, 1), (8, 3), (7, 2), (-1, -1)]"
21,C#,dim7,none,"[(0, 4), (11, 2), (0, 3), (11, 1), (-1, -1), (-1, -1)]"
22,C#,dim7,none,"[(-1, -1), (5, 4), (3, 1), (5, 3), (4, 2), (-1, -1)]"
23,C#,dim7,none,"[(6, 4), (5, 2), (6, 3), (5, 1), (-1, -1), (-1, -1)]"
24,C#,dim7,none,"[(9, 4), (8, 2), (9, 3), (8, 1), (-1, -1), (-1, -1)]"
25,C#,dim7,none,"[(-1, -1), (-1, -1), (9, 3), (8, 1), (-1, -1), (9, 2)]"
26,C#,dim7,none,"[(3, 4), (2, 2), (3, 3), (2, 1), (-1, -1), (-1, -1)]"
27,C#,dim7,none,"[(-1, -1), (2, 2), (3, 4), (2, 1), (-1, -1), (3, 3)]"
28,C#,dim7,none,"[(-1, -1), (-1, -1), (3, 2), (2, 1), (4, 3), (-1, -1)]"
29,C#,dim7,none,"[(3, 1), (5, 4), (3, 1), (5, 3), (4, 2), (-1, -1)]"
30,C#,11,none,"[(4, 1), (4, 1), (4, 1), (4, 1), (4, 1), (-1, -1)]"
31,C#,11,none,"[(7, 1), (7, 1), (8, 2), (9, 3), (-1, -1), (9, 4)]"
32,C#,11,none,"[(11, 1), (0, 2), (11, 1), (11, 1), (-1, -1), (-1, -1)]"
33,C#,m11,none,"[(4, 1), (5, 2), (4, 1), (4, 1), (4, 1), (-1, -1)]"
34,C#,m11,none,"[(-1, -1), (7, 1), (9, 4), (9, 3), (-1, -1), (9, 2)]"
35,C#,m11,none,"[(4, 1), (5, 2), (4, 1), (4, 1), (4, 1), (0, 0)]"
36,C#,m11,none,"[(-1, -1), (5, 2), (4, 1), (4, 1), (4, 1), (-1, -1)]"
37,C#,m11,none,"[(2, 1), (2, 1), (4, 3), (2, 1), (4, 2), (-1, -1)]"
38,C#,m11,none,"[(2, 1), (4, 4), (4, 3), (2, 1), (4, 2), (-1, -1)]"
39,C#,m11,none,"[(7, 1), (7, 1), (9, 4), (9, 3), (-1, -1), (9, 2)]"
40,C#,m7b5,none,"[(0, 0), (0, 0), (0, 0), (2, 1), (4, 3), (-1, -1)]"
41,C#,m7b5,none,"[(0, 0), (5, 4), (4, 2), (5, 3), (4, 1), (-1, -1)]"
42,C#,m7b5,none,"[(-1, -1), (8, 1), (9, 4), (9, 3), (-1, -1), (9, 2)]"
43,C#,m7b5,none,"[(-1, -1), (5, 4), (4, 2), (5, 3), (4, 1), (-1, -1)]"
44,C#,m7b5,none,"[(0, 3), (0, 3), (0, 3), (11, 1), (-1, -1), (-1, -1)]"
45,C#,m7b5,none,"[(-1, -1), (5, 4), (4, 2), (5, 3), (4, 1), (-1, -1)]"
46,C#,m,none,"[(4, 1), (5, 2), (6, 4), (6, 3), (4, 1), (-1, -1)]"
47,C#,m,none,"[(9, 1), (9, 1), (9, 1), (11, 4), (11, 3), (9, 1)]"
48,C#,m,none,"[(0, 2), (2, 4), (1, 3), (11, 1), (-1, -1), (-1, -1)]"
49,C#,m,none,"[(-1, -1), (5, 2), (6, 4), (6, 3), (4, 1), (-1, -1)]"
50,C#,m,none,"[(-1, -1), (9, 1), (9, 1), (11, 4), (11, 3), (-1, -1)]"
51,C#,m,none,"[(-1, -1), (-1, -1), (-1, -1), (2, 1), (4, 3), (-1, -1)]"
52,C#,m,none,"[(-1, -1), (-1, -1), (-1, -1), (-1, -1), (7, 1), (9, 3)]"
53,C#,m,none,"[(9, 1), (9, 1), (9, 1), (11, 3), (-1, -1), (-1, -1)]"
54,C#,m7,none,"[(-1, -1), (2, 1), (4, 4), (2, 1), (4, 3), (-1, -1)]"
55,C#,m7,none,"[(4, 1), (5, 2), (4, 1), (6, 3), (4, 1), (-1, -1)]"
56,C#,m7,none,"[(9, 1), (0, 4), (9, 1), (9, 1), (11, 3), (9, 1)]"
57,C#,m7,none,"[(9, 1), (9, 1), (9, 1), (9, 1), (11, 3), (9, 1)]"
58,C#,m7,none,"[(-1, -1), (-1, -1), (9, 3), (9, 3), (-1, -1), (9, 2)]"
59,C#,m7,none,"[(-1, -1), (-1, -1), (4, 3), (2, 1), (4, 2), (-1, -1)]"
60,C#,m7,none,"[(-1, -1), (9, 3), (9, 3), (9, 3), (-1, -1), (9, 2)]"
61,C#,m7,none,"[(4, 3), (5, 4), (4, 2), (-1, -1), (4, 1), (-1, -1)]"
62,C#,m7,none,"[(0, 0), (0, 0), (9, 4), (9, 3), (7, 1), (9, 2)]"
63,C#,m7,none,"[(-1, -1), (5, 4), (4, 3), (2, 1), (4, 2), (-1, -1)]"
64,C#,m7,none,"[(-1, -1), (5, 2), (4, 1), (6, 3), (4, 1), (-1, -1)]"
65,C#,m7,none,"[(0, 0), (0, 0), (6, 4), (6, 3), (4, 1), (-1, -1)]"
66,C#,m7,none,"[(7, 4), (5, 2), (4, 1), (-1, -1), (4, 1), (-1, -1)]"
67,C#,m7,none,"[(-1, -1), (5, 3), (4, 2), (-1, -1), (4, 1), (-1, -1)]"
68,C#,m7,none,"[(0, 0), (0, 0), (6, 4), (6, 3), (4, 1), (4, 1)]"
69,C#,m7,none,"[(0, 0), (0, 0), (-1, -1), (-1, -1), (4, 3), (-1, -1)]"
70,C#,m7,none,"[(9, 1), (9, 1), (9, 1), (9, 1), (-1, -1), (9, 1)]"
71,C#,dim,none,"[(-1, -1), (5, 3), (6, 4), (5, 2), (4, 1), (-1, -1)]"
72,C#,dim,none,"[(9, 2), (8, 1), (9, 3), (11, 4), (-1, -1), (-1, -1)]"
73,C#,dim,none,"[(-1, -1), (-1, -1), (9, 1), (11, 3), (10, 2), (9, 1)]"
74,C#,dim,none,"[(3, 1), (-1, -1), (0, 0), (-1, -1), (4, 2), (-1, -1)]"
75,C#,dim,none,"[(-1, -1), (-1, -1), (-1, -1), (2, 1), (4, 3), (-1, -1)]"
76,C#,7sus4,none,"[(-1, -1), (2, 1), (4, 4), (4, 3), (4, 2), (-1, -1)]"
77,C#,7sus4,none,"[(4, 1), (7, 4), (4, 1), (6, 3), (4, 1), (-1, -1)]"
78,C#,7sus4,none,"[(9, 1), (9, 1), (11, 4), (9, 1), (11, 3), (9, 1)]"
79,C#,7sus4,none,"[(-1, -1), (-1, -1), (11, 4), (9, 1), (-1, -1), (9, 1)]"
80,C#,5,none,"[(-1, -1), (-1, -1), (-1, -1), (6, 3), (4, 1), (-1, -1)]"
81,C#,5,none,"[(-1, -1), (-1, -1), (6, 4), (6, 3), (4, 1), (-1, -1)]"
82,C#,5,none,"[(-1, -1), (-1, -1), (-1, -1), (6, 3), (4, 1), (4, 1)]"
83,C#,5,none,"[(-1, -1), (-1, -1), (-1, -1), (11, 4), (11, 3), (9, 1)]"
84,C#,5,none,"[(-1, -1), (2, 4), (1, 3), (11, 1), (-1, -1), (-1, -1)]"
85,C#,m6,none,"[(-1, -1), (2, 1), (3, 2), (2, 1), (4, 3), (-1, -1)]"
86,C#,m6,none,"[(6, 4), (5, 2), (6, 3), (-1, -1), (4, 1), (-1, -1)]"
87,C#,m6,none,"[(9, 1), (11, 4), (9, 1), (11, 3), (-1, -1), (9, 1)]"
88,C#,m6,none,"[(-1, -1), (-1, -1), (-1, -1), (8, 2), (7, 1), (9, 3)]"
89,C#,m9,none,"[(-1, -1), (4, 4), (4, 3), (2, 1), (4, 2), (-1, -1)]"
90,C#,m9,none,"[(-1, -1), (-1, -1), (8, 2), (9, 4), (7, 1), (9, 3)]"
91,C#,m9,none,"[(11, 4), (9, 1), (9, 1), (9, 1), (11, 3), (9, 1)]"
92,C#,m9,none,"[(11, 4), (9, 1), (9, 1), (9, 1), (-1, -1), (-1, -1)]"
93,C#,m9,none,"[(-1, -1), (4, 4), (4, 3), (2, 1), (-1, -1), (4, 2)]"
94,C#,m9,none,"[(11, 4), (9, 1), (9, 1), (9, 1), (-1, -1), (9, 1)]"
95,C#,sus4,none,"[(4, 1), (7, 4), (6, 3), (6, 2), (4, 1), (-1, -1)]"
96,C#,sus4,none,"[(9, 4), (7, 2), (6, 1), (6, 1), (-1, -1), (-1, -1)]"
97,C#,sus4,none,"[(9, 1), (9, 1), (11, 4), (11, 3), (9, 1), (9, 1)]"
98,D#,7,none,"[(-1, -1), (4, 1), (6, 4), (4, 2), (6, 3), (-1, -1)]"
99,D#,7,none,"[(6, 1), (7, 4), (6, 1), (8, 3), (6, 1), (-1, -1)]"
100,D#,7,none,"[(11, 1), (2, 4), (11, 2), (11, 1), (1, 3), (11, 1)]"
101,D#,7,none,"[(-1, -1), (-1, -1), (6, 3), (4, 1), (6, 2), (-1, -1)]"
102,D#,dim7,none,"[(-1, -1), (-1, -1), (5, 3), (4, 1), (6, 4), (5, 2)]"
103,D#,dim7,none,"[(-1, -1), (10, 4), (8, 1), (10, 3), (9, 2), (-1, -1)]"
104,D#,dim7,none,"[(11, 4), (10, 2), (11, 3), (10, 1), (-1, -1), (-1, -1)]"
105,D#,dim7,none,"[(-1, -1), (7, 4), (5, 1), (7, 3), (6, 2), (-1, -1)]"
106,D#,dim7,none,"[(2, 4), (1, 2), (2, 3), (1, 1), (-1, -1), (-1, -1)]"
107,D#,dim7,none,"[(5, 1), (7, 4), (5, 1), (7, 3), (6, 2), (-1, -1)]"
108,D#,dim7,none,"[(5, 4), (4, 2), (5, 3), (4, 1), (-1, -1), (-1, -1)]"
109,D#,dim7,none,"[(8, 4), (7, 2), (8, 3), (7, 1), (-1, -1), (-1, -1)]"
110,D#,dim7,none,"[(-1, -1), (10, 2), (11, 4), (10, 1), (-1, -1), (11, 3)]"
111,D#,dim7,none,"[(5, 4), (4, 2), (5, 3), (4, 1), (0, 0), (-1, -1)]"
112,D#,dim7,none,"[(2, 4), (1, 2), (2, 3), (1, 1), (0, 0), (-1, -1)]"
113,D#,aug,none,"[(-1, -1), (11, 0), (11, 0), (1, 2), (1, 3), (-1, -1)]"
114,D#,aug,none,"[(-1, -1), (-1, -1), (11, 0), (1, 2), (1, 3), (2, 4)]"
115,D#,aug,none,"[(11, 1), (11, 3), (11, 2), (1, 4), (-1, -1), (-1, -1)]"
116,D#,maj,none,"[(2, 1), (4, 2), (3, 1), (4, 3), (6, 4), (-1, -1)]"
117,D#,maj,none,"[(-1, -1), (7, 3), (8, 3), (8, 3), (6, 1), (-1, -1)]"
118,D#,maj,none,"[(11, 1), (11, 1), (11, 2), (1, 4), (1, 3), (11, 1)]"
119,D#,m11,none,"[(6, 1), (7, 2), (6, 1), (6, 1), (6, 1), (-1, -1)]"
120,D#,m,none,"[(2, 1), (4, 4), (3, 2), (4, 3), (-1, -1), (-1, -1)]"
121,D#,m,none,"[(6, 1), (7, 2), (8, 4), (8, 3), (6, 1), (-1, -1)]"
122,D#,m,none,"[(11, 1), (11, 1), (11, 1), (1, 4), (1, 3), (11, 1)]"
123,D#,7b5,none,"[(2, 4), (2, 3), (2, 2), (1, 1), (-1, -1), (-1, -1)]"
124,D#,7b5,none,"[(-1, -1), (7, 3), (6, 1), (7, 2), (6, 1), (-1, -1)]"
125,D#,7b5,none,"[(11, 3), (10, 1), (11, 4), (11, 2), (-1, -1), (-1, -1)]"
126,D#,m7,none,"[(-1, -1), (4, 1), (6, 4), (4, 1), (6, 3), (-1, -1)]"
127,D#,m7,none,"[(6, 1), (7, 2), (6, 1), (8, 3), (6, 1), (-1, -1)]"
128,D#,m7,none,"[(11, 1), (2, 4), (11, 1), (11, 1), (1, 3), (11, 1)]"
129,D#,dim,none,"[(2, 4), (4, 3), (2, 2), (1, 1), (-1, -1), (-1, -1)]"
130,D#,dim,none,"[(-1, -1), (7, 4), (8, 3), (7, 2), (6, 1), (-1, -1)]"
131,D#,dim,none,"[(11, 2), (10, 1), (11, 3), (1, 4), (-1, -1), (-1, -1)]"
132,D#,7(#5),none,"[(-1, -1), (4, 1), (3, 1), (4, 2), (4, 1), (-1, -1)]"
133,D#,7(#5),none,"[(6, 2), (7, 3), (6, 1), (8, 4), (6, 1), (-1, -1)]"
134,D#,7(#5),none,"[(11, 1), (11, 3), (11, 2), (11, 1), (-1, -1), (11, 1)]"
135,D#,7sus4,none,"[(-1, -1), (4, 1), (6, 4), (6, 3), (6, 2), (-1, -1)]"
136,D#,7sus4,none,"[(6, 1), (9, 4), (6, 1), (8, 3), (6, 1), (-1, -1)]"
137,D#,7sus4,none,"[(11, 1), (11, 1), (1, 4), (11, 1), (1, 3), (11, 1)]"
138,D#,maj7,none,"[(2, 1), (2, 1), (3, 1), (4, 3), (6, 4), (-1, -1)]"
139,D#,maj7,none,"[(6, 1), (7, 4), (6, 2), (8, 3), (6, 1), (-1, -1)]"
140,D#,maj7,none,"[(9, 1), (11, 2), (11, 3), (1, 4), (-1, -1), (-1, -1)]"
141,D#,5,none,"[(-1, -1), (-1, -1), (8, 4), (8, 3), (6, 1), (-1, -1)]"
142,D#,5,none,"[(-1, -1), (-1, -1), (-1, -1), (8, 3), (6, 1), (-1, -1)]"
143,D#,5,none,"[(-1, -1), (-1, -1), (-1, -1), (8, 3), (6, 1), (6, 1)]"
144,D#,7(b9),none,"[(0, 0), (2, 3), (11, 0), (1, 1), (-1, -1), (-1, -1)]"
145,D#,7(b9),none,"[(-1, -1), (5, 1), (6, 3), (4, 1), (6, 2), (-1, -1)]"
146,D#,7(b9),none,"[(0, 3), (11, 1), (11, 2), (11, 1), (-1, -1), (11, 1)]"
147,D#,sus4,none,"[(-1, -1), (4, 2), (3, 1), (6, 4), (6, 3), (-1, -1)]"
148,D#,sus4,none,"[(6, 1), (9, 4), (8, 3), (8, 2), (6, 1), (-1, -1)]"
149,D#,sus4,none,"[(11, 1), (11, 1), (1, 4), (1, 3), (11, 1), (11, 1)]"
150,F#,9(#5),none,"[(-1, -1), (7, 1), (6, 1), (8, 2), (7, 1), (-1, -1)]"
151,F#,13,none,"[(4, 4), (4, 3), (3, 2), (2, 1), (-1, -1), (2, 1)]"
152,F#,13,none,"[(11, 4), (9, 3), (9, 3), (8, 1), (9, 2), (-1, -1)]"
153,F#,13,none,"[(11, 4), (9, 1), (9, 1), (11, 3), (9, 1), (-1, -1)]"
154,F#,13,none,"[(-1, -1), (4, 4), (3, 3), (2, 2), (-1, -1), (2, 1)]"
155,F#,13,none,"[(-1, -1), (7, 2), (8, 4), (8, 3), (7, 1), (-1, -1)]"
156,F#,13,none,"[(11, 4), (9, 2), (9, 2), (8, 1), (-1, -1), (-1, -1)]"
157,F#,7(#9),none,"[(2, 3), (2, 3), (1, 3), (2, 3), (1, 1), (2, 2)]"
158,F#,7(#9),none,"[(4, 4), (2, 1), (3, 2), (2, 1), (4, 3), (2, 1)]"
159,F#,7(#9),none,"[(-1, -1), (9, 4), (9, 3), (8, 1), (9, 2), (-1, -1)]"
160,F#,9,none,"[(2, 4), (2, 3), (1, 1), (2, 2), (-1, -1), (-1, -1)]"
161,F#,9,none,"[(4, 1), (5, 2), (6, 3), (4, 1), (-1, -1), (-1, -1)]"
162,F#,9,none,"[(-1, -1), (9, 4), (9, 3), (8, 1), (9, 2), (-1, -1)]"
163,F#,9,none,"[(9, 3), (9, 3), (9, 3), (8, 1), (9, 2), (-1, -1)]"
164,F#,9,none,"[(2, 4), (11, 1), (1, 2), (2, 3), (-1, -1), (-1, -1)]"
165,F#,9,none,"[(-1, -1), (2, 4), (1, 2), (2, 3), (1, 1), (-1, -1)]"
166,F#,9b5,none,"[(2, 4), (1, 1), (1, 1), (2, 3), (1, 1), (2, 2)]"
167,F#,9b5,none,"[(4, 1), (5, 3), (5, 2), (4, 1), (-1, -1), (-1, -1)]"
168,F#,9b5,none,"[(8, 1), (9, 4), (9, 3), (8, 1), (9, 2), (8, 1)]"
169,F#,7,none,"[(2, 1), (5, 4), (3, 2), (2, 1), (4, 3), (2, 1)]"
170,F#,7,none,"[(-1, -1), (7, 1), (9, 4), (8, 2), (9, 3), (-1, -1)]"
171,F#,7,none,"[(9, 1), (11, 4), (9, 1), (11, 3), (9, 1), (-1, -1)]"
172,F#,7,none,"[(2, 1), (2, 1), (3, 2), (2, 1), (4, 3), (2, 1)]"
173,F#,7,none,"[(-1, -1), (2, 3), (3, 4), (2, 2), (-1, -1), (2, 1)]"
174,F#,7,none,"[(6, 3), (5, 1), (6, 2), (-1, -1), (-1, -1), (-1, -1)]"
175,F#,dim7,none,"[(-1, -1), (-1, -1), (5, 3), (4, 1), (6, 4), (5, 2)]"
176,F#,dim7,none,"[(-1, -1), (1, 4), (11, 1), (1, 3), (0, 2), (-1, -1)]"
177,F#,dim7,none,"[(2, 4), (1, 2), (2, 3), (1, 1), (-1, -1), (-1, -1)]"
178,F#,dim7,none,"[(5, 4), (4, 2), (5, 3), (4, 1), (-1, -1), (-1, -1)]"
179,F#,dim7,none,"[(2, 1), (4, 4), (2, 1), (4, 3), (3, 2), (2, 1)]"
180,F#,dim7,none,"[(-1, -1), (10, 4), (8, 1), (10, 3), (9, 2), (-1, -1)]"
181,F#,dim7,none,"[(2, 4), (1, 2), (2, 3), (1, 1), (-1, -1), (-1, -1)]"
182,F#,dim7,none,"[(-1, -1), (1, 1), (2, 3), (1, 1), (-1, -1), (2, 2)]"
183,F#,dim7,none,"[(-1, -1), (7, 4), (5, 1), (7, 3), (6, 2), (-1, -1)]"
184,F#,dim7,none,"[(11, 4), (10, 2), (11, 3), (10, 1), (-1, -1), (-1, -1)]"
185,F#,dim7,none,"[(-1, -1), (7, 1), (8, 3), (7, 1), (-1, -1), (8, 2)]"
186,F#,aug,none,"[(-1, -1), (2, 1), (3, 1), (4, 2), (4, 3), (-1, -1)]"
187,F#,aug,none,"[(-1, -1), (-1, -1), (3, 1), (4, 2), (4, 3), (6, 4)]"
188,F#,aug,none,"[(9, 1), (11, 3), (11, 2), (11, 4), (-1, -1), (-1, -1)]"
189,F#,aug,none,"[(-1, -1), (-1, -1), (-1, -1), (11, 0), (1, 1), (2, 2)]"
190,F#,aug,none,"[(-1, -1), (7, 1), (6, 1), (8, 2), (9, 3), (-1, -1)]"
191,F#,maj,none,"[(2, 1), (2, 1), (3, 2), (4, 4), (4, 3), (2, 1)]"
192,F#,maj,none,"[(6, 1), (7, 2), (6, 1), (8, 3), (9, 4), (-1, -1)]"
193,F#,maj,none,"[(-1, -1), (11, 3), (11, 3), (11, 3), (9, 1), (-1, -1)]"
194,F#,maj,none,"[(-1, -1), (-1, -1), (3, 2), (4, 4), (4, 3), (2, 1)]"
195,F#,maj,none,"[(-1, -1), (7, 2), (6, 1), (8, 3), (-1, -1), (-1, -1)]"
196,F#,maj,none,"[(-1, -1), (-1, -1), (-1, -1), (-1, -1), (1, 1), (2, 2)]"
197,F#,maj,none,"[(6, 2), (7, 3), (6, 1), (-1, -1), (-1, -1), (-1, -1)]"
198,F#,maj,none,"[(2, 1), (2, 1), (3, 2), (4, 3), (-1, -1), (-1, -1)]"
199,F#,maj,none,"[(-1, -1), (11, 3), (11, 3), (11, 3), (-1, -1), (-1, -1)]"
200,F#,maj,none,"[(-1, -1), (-1, -1), (3, 2), (-1, -1), (4, 3), (2, 1)]"
201,F#,maj,none,"[(-1, -1), (-1, -1), (-1, -1), (-1, -1), (9, 4), (6, 1)]"
202,F#,11,none,"[(0, 0), (0, 0), (1, 1), (2, 3), (-1, -1), (2, 2)]"
203,F#,11,none,"[(4, 1), (5, 2), (4, 1), (4, 1), (-1, -1), (-1, -1)]"
204,F#,11,none,"[(9, 1), (9, 1), (9, 1), (9, 1), (9, 1), (-1, -1)]"
205,F#,m11,none,"[(0, 0), (0, 0), (9, 4), (7, 1), (9, 3), (-1, -1)]"
206,F#,m11,none,"[(0, 0), (0, 0), (2, 1), (4, 4), (4, 3), (2, 1)]"
207,F#,m11,none,"[(-1, -1), (10, 2), (9, 1), (9, 1), (9, 1), (-1, -1)]"
208,F#,m11,none,"[(-1, -1), (0, 0), (2, 4), (2, 3), (-1, -1), (2, 2)]"
209,F#,m11,none,"[(0, 0), (0, 0), (2, 4), (2, 3), (-1, -1), (2, 2)]"
210,F#,m11,none,"[(0, 0), (0, 0), (11, 4), (11, 3), (9, 1), (-1, -1)]"
211,F#,m11,none,"[(-1, -1), (0, 4), (9, 1), (11, 3), (-1, -1), (-1, -1)]"
212,F#,m11,none,"[(4, 1), (5, 2), (4, 1), (7, 4), (4, 1), (-1, -1)]"
213,F#,m,none,"[(2, 1), (2, 1), (2, 1), (4, 4), (4, 3), (2, 1)]"
214,F#,m,none,"[(5, 2), (7, 4), (6, 3), (4, 1), (-1, -1), (-1, -1)]"
215,F#,m,none,"[(9, 1), (10, 2), (11, 4), (11, 3), (9, 1), (-1, -1)]"
216,F#,m,none,"[(-1, -1), (10, 2), (11, 4), (11, 3), (9, 1), (-1, -1)]"
217,F#,m,none,"[(2, 1), (2, 1), (2, 1), (4, 3), (-1, -1), (-1, -1)]"
218,F#,7b5,none,"[(-1, -1), (-1, -1), (3, 4), (2, 2), (3, 3), (2, 1)]"
219,F#,7b5,none,"[(6, 4), (5, 3), (5, 2), (4, 1), (-1, -1), (-1, -1)]"
